id,sector,skills,education,location
527,Defence,Aerospace Engineering; Navigation Systems; Military Tactics; Weapon Systems; Cybersecurity; Strategic Planning,B.Tech Electronics,Vadodara
528,Travel & Logistics,Supply Chain; Transportation Planning; Customer Service; Operations Management; Inventory Management,BBA,Tiruchirappalli
529,Education,Teaching; Educational Research; Classroom Management; Assessment Design,PhD Education,Amritsar
530,Agriculture,Irrigation Systems; Farm Mechanization; Agribusiness; Fertilizer Application,Diploma Agriculture,Ahmedabad
531,Defence,Navigation Systems; Strategic Planning; Cybersecurity,Defence Studies,Ghaziabad
532,Chemical Industries,Material Science; Safety Management; Process Design; Chemical Engineering; Quality Control,B.Tech Chemical Engineering,Thane
533,Design,Illustration; 3D Modeling; UI/UX,M.Des,Allahabad
534,IT/Software,Cybersecurity; C++; Cloud Computing; Python; Machine Learning; Web Development,MCA,Solapur
535,Agriculture,Fertilizer Application; Crop Management; Soil Science; Agribusiness,M.Sc Agriculture,Lucknow
536,Finance/Banking,Auditing; Investment Banking; Data Analysis; Financial Analysis; Accounting,CA,Madurai
537,FMCG,Product Management; Supply Chain; Sales,MBA Marketing,Srinagar
538,Education,Classroom Management; Public Speaking; Teaching; Assessment Design; Curriculum Development,PhD Education,Hyderabad
539,Design,Adobe Photoshop; UI/UX; Illustration; AutoCAD; 3D Modeling,Diploma in Design,Guwahati
540,Pharamaceutical,Quality Control; Regulatory Affairs; Medical Research; Pharmacology,M.Pharm,Varanasi
541,Research,Experimentation; Laboratory Techniques; Scientific Writing; Data Analysis,M.Tech,Navi Mumbai
542,Housing/Infrastructure,Structural Analysis; Construction Management; Urban Planning; AutoCAD; Project Management; Civil Engineering,B.Tech Civil,Ghaziabad
543,Travel & Logistics,Customer Service; Transportation Planning; Operations Management; Supply Chain; Warehouse Management; Inventory Management,MBA Operations,Bareilly
544,Housing/Infrastructure,Construction Management; Civil Engineering; Urban Planning,M.Tech Structural Engineering,Delhi
545,Housing/Infrastructure,Construction Management; Project Management; Urban Planning; Civil Engineering; Structural Analysis; AutoCAD,M.Tech Structural Engineering,Raipur
546,Travel & Logistics,Warehouse Management; Operations Management; Transportation Planning; Supply Chain; Customer Service; Inventory Management,MBA Operations,Kota
547,Education,Educational Research; Public Speaking; Classroom Management; Curriculum Development; Assessment Design; Teaching,B.Ed,Ghaziabad
548,Healthcare,Clinical Research; Patient Care; Nursing; Phlebotomy; Surgery Assistance; Public Health,MBBS,Patna
549,Research,Scientific Writing; Laboratory Techniques; Statistics; Data Analysis; Machine Learning; Experimentation,PhD,Dhanbad
550,IT/Software,C++; Cloud Computing; Data Analysis,MCA,Amritsar
551,Gems & Jewellery,Retail Management; Quality Control; Merchandising,Certificate in Gemology,Meerut
552,Agriculture,Irrigation Systems; Crop Management; Agribusiness; Fertilizer Application; Soil Science,B.Sc Agriculture,Gwalior
553,FMCG,Consumer Behaviour; Marketing; Brand Management; Product Management; Supply Chain; Sales,MBA Marketing,Navi Mumbai
554,Housing/Infrastructure,Construction Management; Project Management; Urban Planning; Structural Analysis; Civil Engineering; AutoCAD,M.Tech Structural Engineering,Chennai
555,Defence,Cybersecurity; Weapon Systems; Aerospace Engineering; Military Tactics,B.Tech Electronics,Ahmedabad
556,Research,Scientific Writing; Machine Learning; Statistics; Laboratory Techniques; Data Analysis; Experimentation,PhD,Thane
557,Defence,Military Tactics; Cybersecurity; Aerospace Engineering,B.Tech Mechanical,Gwalior
558,Housing/Infrastructure,AutoCAD; Construction Management; Urban Planning; Project Management,Diploma Civil,Ludhiana
559,Education,Classroom Management; Curriculum Development; Teaching; Educational Research,M.Ed,Amritsar
560,Gems & Jewellery,CAD Design; Retail Management; Quality Control; Gemology; Merchandising,B.Des Jewellery,Faridabad
561,Defence,Cybersecurity; Aerospace Engineering; Navigation Systems; Military Tactics; Weapon Systems; Strategic Planning,B.Tech Electronics,Ludhiana
562,Education,Classroom Management; Curriculum Development; Teaching,M.Ed,Ludhiana
563,Housing/Infrastructure,Construction Management; Civil Engineering; Urban Planning,Diploma Civil,Solapur
564,Pharamaceutical,Medical Research; Drug Development; Pharmacology; Quality Control; Regulatory Affairs,B.Pharm,Vijayawada
565,Education,Classroom Management; Public Speaking; Assessment Design; Curriculum Development; Educational Research,M.Ed,Bhopal
566,Agriculture,Soil Science; Fertilizer Application; Crop Management; Irrigation Systems; Agribusiness,B.Sc Agriculture,Kota
567,Finance/Banking,Accounting; Excel; Investment Banking,CA,Allahabad
568,Finance/Banking,Excel; Investment Banking; Accounting; Auditing; Financial Analysis; Risk Management,MBA Finance,Lucknow
569,Chemical Industries,Quality Control; Industrial Chemistry; Safety Management; Chemical Engineering; Process Design,B.Tech Chemical Engineering,Ghaziabad
570,Travel & Logistics,Warehouse Management; Operations Management; Customer Service; Inventory Management,MBA Operations,Aligarh
571,Housing/Infrastructure,Structural Analysis; Civil Engineering; Urban Planning; AutoCAD,Diploma Civil,Visakhapatnam
572,Defence,Cybersecurity; Aerospace Engineering; Military Tactics,B.Tech Mechanical,Hubli
573,Agriculture,Crop Management; Soil Science; Farm Mechanization; Agribusiness; Fertilizer Application,B.Sc Agriculture,Aligarh
574,Travel & Logistics,Operations Management; Transportation Planning; Inventory Management; Warehouse Management; Customer Service,BBA,Ahmedabad
575,Defence,Weapon Systems; Aerospace Engineering; Military Tactics; Cybersecurity,B.Tech Electronics,Jodhpur
576,Education,Assessment Design; Teaching; Curriculum Development,M.Ed,Hubli
577,Chemical Industries,Safety Management; Chemical Engineering; Quality Control,M.Sc Chemistry,Solapur
578,Research,Experimentation; Laboratory Techniques; Machine Learning; Data Analysis; Statistics; Scientific Writing,M.Tech,Raipur
579,Travel & Logistics,Operations Management; Transportation Planning; Inventory Management; Supply Chain; Warehouse Management; Customer Service,Diploma Logistics,Kanpur
580,Research,Laboratory Techniques; Statistics; Scientific Writing; Machine Learning; Experimentation; Data Analysis,M.Sc Research Methodology,Howrah
581,Finance/Banking,Data Analysis; Financial Analysis; Risk Management,MBA Finance,Aurangabad
582,IT/Software,Cybersecurity; SQL; Machine Learning; Cloud Computing; Python; Web Development,B.Tech Information Technology,Meerut
583,IT/Software,Data Analysis; Cloud Computing; Web Development; Cybersecurity; Machine Learning,MCA,Kanpur
584,Pharamaceutical,Medical Research; Regulatory Affairs; Drug Development; Pharmacology,PhD Pharmacy,Mysore
585,Defence,Military Tactics; Weapon Systems; Navigation Systems; Aerospace Engineering; Strategic Planning; Cybersecurity,B.Tech Electronics,Hyderabad
586,Agriculture,Farm Mechanization; Fertilizer Application; Irrigation Systems; Soil Science; Crop Management; Agribusiness,Diploma Agriculture,Faridabad
587,FMCG,Consumer Behaviour; Brand Management; Supply Chain,MBA Marketing,Visakhapatnam
588,Finance/Banking,Risk Management; Excel; Investment Banking,CA,Tiruchirappalli
589,Healthcare,Surgery Assistance; Patient Care; Public Health,MD,Kolkata
590,Research,Scientific Writing; Machine Learning; Data Analysis; Laboratory Techniques; Statistics; Experimentation,M.Sc Research Methodology,Nashik
591,Chemical Industries,Material Science; Process Design; Safety Management; Quality Control; Industrial Chemistry,B.Tech Chemical Engineering,Chennai
592,Gems & Jewellery,Jewellery Design; CAD Design; Quality Control; Gemology; Merchandising; Retail Management,B.Des Jewellery,Varanasi
593,Housing/Infrastructure,Construction Management; AutoCAD; Project Management; Urban Planning,Diploma Civil,Vadodara
594,Agriculture,Farm Mechanization; Irrigation Systems; Agribusiness; Soil Science; Crop Management,Diploma Agriculture,Madurai
595,Education,Teaching; Curriculum Development; Classroom Management; Educational Research; Assessment Design,M.Ed,Aurangabad
596,Agriculture,Agribusiness; Fertilizer Application; Soil Science; Irrigation Systems; Farm Mechanization,B.Sc Agriculture,Guwahati
597,Chemical Industries,Material Science; Chemical Engineering; Safety Management,M.Sc Chemistry,Kota
598,Pharamaceutical,Regulatory Affairs; Clinical Trials; Medical Research; Pharmacology; Quality Control; Drug Development,B.Pharm,Patna
599,Pharamaceutical,Drug Development; Medical Research; Quality Control; Clinical Trials; Regulatory Affairs; Pharmacology,M.Pharm,Nagpur
600,Design,Adobe Photoshop; 3D Modeling; UI/UX; AutoCAD; Graphic Design; Illustration,M.Des,Ghaziabad
601,Housing/Infrastructure,Civil Engineering; Project Management; Urban Planning; Structural Analysis; AutoCAD; Construction Management,M.Tech Structural Engineering,Pune
602,Healthcare,Phlebotomy; Clinical Research; Patient Care,B.Sc Nursing,Hyderabad
603,Housing/Infrastructure,Project Management; Structural Analysis; Urban Planning; Civil Engineering; AutoCAD; Construction Management,B.Tech Civil,Hubli
604,Research,Statistics; Experimentation; Scientific Writing; Machine Learning; Laboratory Techniques; Data Analysis,M.Sc Research Methodology,Allahabad
605,Finance/Banking,Financial Analysis; Risk Management; Auditing; Investment Banking; Excel; Accounting,B.Com,Guwahati
606,Gems & Jewellery,Jewellery Design; Retail Management; Merchandising; CAD Design,Diploma Jewellery Design,Aurangabad
607,Design,Adobe Photoshop; AutoCAD; 3D Modeling; UI/UX; Illustration,Diploma in Design,Bareilly
608,Healthcare,Patient Care; Surgery Assistance; Clinical Research; Public Health; Phlebotomy; Nursing,B.Sc Nursing,Allahabad
609,IT/Software,Web Development; SQL; C++; Machine Learning,MCA,Mumbai
610,Defence,Aerospace Engineering; Military Tactics; Strategic Planning,B.Tech Mechanical,Meerut
611,IT/Software,SQL; Cloud Computing; Python; Cybersecurity; Machine Learning,MCA,Lucknow
612,Education,Curriculum Development; Teaching; Educational Research; Public Speaking,B.Ed,Thane
613,Healthcare,Surgery Assistance; Clinical Research; Phlebotomy; Patient Care; Nursing; Public Health,MBBS,Tiruchirappalli
614,Defence,Weapon Systems; Military Tactics; Strategic Planning; Cybersecurity; Aerospace Engineering; Navigation Systems,B.Tech Electronics,Kalyan
615,Design,3D Modeling; AutoCAD; UI/UX; Illustration; Graphic Design,B.Des,Pune
616,FMCG,Supply Chain; Sales; Marketing; Consumer Behaviour; Product Management,Diploma Business Management,Chandigarh
617,Gems & Jewellery,Gemology; Jewellery Design; Merchandising,B.Des Jewellery,Thane
618,Design,3D Modeling; Adobe Photoshop; Illustration,M.Des,Ludhiana
619,Education,Public Speaking; Assessment Design; Classroom Management,M.Ed,Varanasi
620,Finance/Banking,Auditing; Financial Analysis; Data Analysis; Excel; Accounting,CA,Ahmedabad
621,Design,Adobe Photoshop; AutoCAD; 3D Modeling,Diploma in Design,Mumbai
622,Gems & Jewellery,Gemology; CAD Design; Quality Control; Merchandising; Jewellery Design,B.Des Jewellery,Solapur
623,Defence,Navigation Systems; Weapon Systems; Military Tactics; Cybersecurity,B.Tech Mechanical,Chennai
624,FMCG,Supply Chain; Brand Management; Marketing,MBA Marketing,Mysore
625,Gems & Jewellery,Quality Control; Gemology; Retail Management,B.Des Jewellery,Delhi
626,Design,Graphic Design; 3D Modeling; Adobe Photoshop; UI/UX,M.Des,Jaipur
627,Healthcare,Clinical Research; Public Health; Phlebotomy; Nursing; Patient Care; Surgery Assistance,B.Sc Nursing,Gwalior
628,IT/Software,C++; Data Analysis; Web Development; Cybersecurity; SQL,B.Tech Information Technology,Nashik
629,Design,Illustration; Adobe Photoshop; Graphic Design; UI/UX; AutoCAD; 3D Modeling,M.Des,Ahmedabad
630,Agriculture,Crop Management; Agribusiness; Fertilizer Application; Irrigation Systems; Soil Science; Farm Mechanization,Diploma Agriculture,Aligarh
631,FMCG,Marketing; Sales; Supply Chain; Brand Management; Consumer Behaviour; Product Management,BBA,Raipur
632,Chemical Industries,Safety Management; Process Design; Material Science,B.Tech Chemical Engineering,Bareilly
633,Defence,Strategic Planning; Aerospace Engineering; Cybersecurity; Weapon Systems,B.Tech Electronics,Jabalpur
634,Design,Illustration; Graphic Design; 3D Modeling; UI/UX; Adobe Photoshop; AutoCAD,M.Des,Nashik
635,Design,UI/UX; Graphic Design; Illustration; Adobe Photoshop; 3D Modeling; AutoCAD,Diploma in Design,Dhanbad
636,Finance/Banking,Accounting; Data Analysis; Auditing; Excel; Financial Analysis,CA,Howrah
637,Defence,Navigation Systems; Weapon Systems; Aerospace Engineering; Military Tactics; Cybersecurity; Strategic Planning,B.Tech Mechanical,Chandigarh
638,Chemical Industries,Quality Control; Safety Management; Chemical Engineering; Process Design,M.Sc Chemistry,Ranchi
639,Housing/Infrastructure,Construction Management; AutoCAD; Project Management,B.Tech Civil,Chandigarh
640,Design,Illustration; AutoCAD; UI/UX; Adobe Photoshop; Graphic Design; 3D Modeling,Diploma in Design,Ludhiana
641,Research,Machine Learning; Experimentation; Scientific Writing; Data Analysis; Laboratory Techniques,M.Sc Research Methodology,Amritsar
642,Healthcare,Nursing; Public Health; Patient Care; Phlebotomy; Clinical Research; Surgery Assistance,Diploma in Medical Lab Technology,Tiruchirappalli
643,Healthcare,Nursing; Clinical Research; Phlebotomy; Patient Care,MD,Varanasi
644,Pharamaceutical,Pharmacology; Clinical Trials; Regulatory Affairs; Medical Research; Drug Development; Quality Control,B.Pharm,Tiruchirappalli
645,Defence,Military Tactics; Aerospace Engineering; Weapon Systems; Navigation Systems; Strategic Planning,B.Tech Electronics,Nagpur
646,Research,Experimentation; Statistics; Machine Learning; Data Analysis,M.Sc Research Methodology,Srinagar
647,Healthcare,Patient Care; Clinical Research; Nursing; Phlebotomy,MBBS,Navi Mumbai
648,Finance/Banking,Accounting; Excel; Data Analysis; Auditing,B.Com,Allahabad
649,Defence,Weapon Systems; Navigation Systems; Cybersecurity,Defence Studies,Hubli
650,IT/Software,SQL; Cloud Computing; Web Development; Machine Learning; C++,MCA,Thane
651,Housing/Infrastructure,Civil Engineering; AutoCAD; Construction Management,Diploma Civil,Ranchi
652,Pharamaceutical,Regulatory Affairs; Drug Development; Quality Control; Clinical Trials,PhD Pharmacy,Kota
653,FMCG,Brand Management; Consumer Behaviour; Marketing; Supply Chain,BBA,Kalyan
654,Design,Graphic Design; 3D Modeling; Illustration,Diploma in Design,Pune
655,Agriculture,Irrigation Systems; Fertilizer Application; Farm Mechanization; Crop Management; Agribusiness,B.Sc Agriculture,Meerut
656,Defence,Weapon Systems; Navigation Systems; Aerospace Engineering; Military Tactics; Cybersecurity,Defence Studies,Ludhiana
657,Design,Illustration; 3D Modeling; AutoCAD,Diploma in Design,Visakhapatnam
658,Education,Curriculum Development; Educational Research; Teaching,M.Ed,Aurangabad
659,Research,Scientific Writing; Data Analysis; Laboratory Techniques,M.Sc Research Methodology,Navi Mumbai
660,Gems & Jewellery,Gemology; Merchandising; Retail Management; CAD Design; Jewellery Design; Quality Control,Diploma Jewellery Design,Indore
661,Pharamaceutical,Drug Development; Clinical Trials; Pharmacology; Medical Research,M.Pharm,Vijayawada
662,Healthcare,Nursing; Clinical Research; Surgery Assistance,Diploma in Medical Lab Technology,Dhanbad
663,Finance/Banking,Data Analysis; Accounting; Excel; Risk Management; Auditing; Financial Analysis,MBA Finance,Hyderabad
664,Travel & Logistics,Operations Management; Warehouse Management; Customer Service; Supply Chain; Inventory Management; Transportation Planning,BBA,Hubli
665,Education,Public Speaking; Educational Research; Classroom Management; Assessment Design; Curriculum Development,B.Ed,Nagpur
666,Finance/Banking,Excel; Auditing; Risk Management; Accounting; Data Analysis,B.Com,Rajkot
667,Design,Illustration; AutoCAD; 3D Modeling; UI/UX; Graphic Design,Diploma in Design,Kanpur
668,Healthcare,Public Health; Phlebotomy; Surgery Assistance; Clinical Research; Patient Care,Diploma in Medical Lab Technology,Aligarh
669,Agriculture,Fertilizer Application; Irrigation Systems; Farm Mechanization; Crop Management,Diploma Agriculture,Jodhpur
670,Education,Educational Research; Curriculum Development; Classroom Management; Teaching,M.Ed,Kanpur
671,Finance/Banking,Accounting; Excel; Data Analysis; Risk Management; Investment Banking; Auditing,MBA Finance,Kota
672,Healthcare,Public Health; Surgery Assistance; Clinical Research; Nursing,MBBS,Pune
673,Design,Illustration; UI/UX; AutoCAD,B.Des,Hubli
674,IT/Software,Machine Learning; Python; Data Analysis; Cloud Computing; Java; SQL,B.Tech Information Technology,Chandigarh
675,Healthcare,Clinical Research; Patient Care; Surgery Assistance; Public Health; Phlebotomy,MD,Kota
676,Travel & Logistics,Operations Management; Warehouse Management; Inventory Management; Customer Service; Transportation Planning,Diploma Logistics,Agra
677,Finance/Banking,Financial Analysis; Accounting; Excel; Risk Management; Auditing,CA,Meerut
678,Chemical Industries,Industrial Chemistry; Quality Control; Material Science; Process Design,B.Tech Chemical Engineering,Hyderabad
679,Research,Scientific Writing; Machine Learning; Statistics; Laboratory Techniques,PhD,Aligarh
680,Chemical Industries,Material Science; Process Design; Chemical Engineering; Quality Control; Safety Management,M.Sc Chemistry,Pune
681,Design,AutoCAD; Graphic Design; UI/UX; 3D Modeling; Adobe Photoshop; Illustration,Diploma in Design,Allahabad
682,Healthcare,Patient Care; Clinical Research; Surgery Assistance; Public Health; Phlebotomy; Nursing,B.Sc Nursing,Srinagar
683,Design,Graphic Design; 3D Modeling; Adobe Photoshop,B.Des,Jodhpur
684,Agriculture,Crop Management; Farm Mechanization; Agribusiness; Fertilizer Application; Irrigation Systems; Soil Science,Diploma Agriculture,Jabalpur
685,Education,Teaching; Classroom Management; Assessment Design; Public Speaking; Educational Research; Curriculum Development,M.Ed,Ranchi
686,Design,AutoCAD; Adobe Photoshop; Graphic Design; Illustration; UI/UX,M.Des,Tiruchirappalli
687,Pharamaceutical,Medical Research; Pharmacology; Quality Control; Drug Development; Clinical Trials,M.Pharm,Bareilly
688,Gems & Jewellery,Quality Control; Retail Management; Gemology; Merchandising; CAD Design,Diploma Jewellery Design,Srinagar
689,Gems & Jewellery,Gemology; CAD Design; Merchandising; Jewellery Design; Retail Management,Certificate in Gemology,Mumbai
690,IT/Software,Web Development; Cloud Computing; Machine Learning; Java,B.Tech Information Technology,Aurangabad
691,Gems & Jewellery,CAD Design; Quality Control; Jewellery Design; Merchandising; Gemology; Retail Management,B.Des Jewellery,Madurai
692,Chemical Industries,Process Design; Safety Management; Quality Control; Material Science,B.Tech Chemical Engineering,Kota
693,FMCG,Marketing; Brand Management; Product Management; Consumer Behaviour; Sales,BBA,Rajkot
694,Defence,Aerospace Engineering; Navigation Systems; Weapon Systems; Strategic Planning,Defence Studies,Chennai
695,Chemical Industries,Industrial Chemistry; Chemical Engineering; Quality Control; Material Science,B.Tech Chemical Engineering,Vijayawada
696,Defence,Aerospace Engineering; Cybersecurity; Military Tactics; Weapon Systems,B.Tech Mechanical,Faridabad
697,Agriculture,Fertilizer Application; Irrigation Systems; Agribusiness; Soil Science,M.Sc Agriculture,Howrah
698,Defence,Weapon Systems; Military Tactics; Navigation Systems; Cybersecurity; Aerospace Engineering; Strategic Planning,Defence Studies,Nashik
699,Defence,Weapon Systems; Aerospace Engineering; Cybersecurity,Defence Studies,Indore
700,Finance/Banking,Investment Banking; Accounting; Data Analysis; Auditing; Excel,B.Com,Ghaziabad
701,FMCG,Brand Management; Product Management; Marketing; Consumer Behaviour; Sales; Supply Chain,MBA Marketing,Ahmedabad
702,Finance/Banking,Auditing; Excel; Investment Banking; Risk Management; Data Analysis; Financial Analysis,MBA Finance,Indore
703,Design,Adobe Photoshop; UI/UX; Graphic Design; 3D Modeling; Illustration; AutoCAD,B.Des,Visakhapatnam
704,Gems & Jewellery,Retail Management; Merchandising; Gemology; Jewellery Design; CAD Design; Quality Control,Certificate in Gemology,Bareilly
705,FMCG,Brand Management; Supply Chain; Consumer Behaviour; Marketing; Product Management; Sales,Diploma Business Management,Rajkot
706,Finance/Banking,Data Analysis; Excel; Investment Banking; Financial Analysis,CA,Raipur
707,Education,Teaching; Educational Research; Public Speaking; Assessment Design; Classroom Management; Curriculum Development,B.Ed,Meerut
708,Defence,Navigation Systems; Weapon Systems; Military Tactics; Aerospace Engineering; Strategic Planning,B.Tech Electronics,Ahmedabad
709,Finance/Banking,Investment Banking; Risk Management; Financial Analysis; Excel; Data Analysis; Accounting,CA,Srinagar
710,Design,Illustration; Adobe Photoshop; AutoCAD; UI/UX; 3D Modeling; Graphic Design,B.Des,Kanpur
711,Defence,Aerospace Engineering; Cybersecurity; Navigation Systems; Weapon Systems; Military Tactics; Strategic Planning,B.Tech Mechanical,Agra
712,Healthcare,Clinical Research; Surgery Assistance; Phlebotomy; Patient Care; Nursing,MD,Mumbai
713,Agriculture,Crop Management; Irrigation Systems; Soil Science,M.Sc Agriculture,Mysore
714,Design,Adobe Photoshop; AutoCAD; UI/UX,B.Des,Ahmedabad
715,Pharamaceutical,Medical Research; Regulatory Affairs; Drug Development,M.Pharm,Aurangabad
716,Healthcare,Public Health; Phlebotomy; Nursing; Clinical Research; Patient Care; Surgery Assistance,MD,Delhi
717,Education,Classroom Management; Assessment Design; Teaching,M.Ed,Navi Mumbai
718,FMCG,Marketing; Sales; Consumer Behaviour,Diploma Business Management,Visakhapatnam
719,Research,Machine Learning; Statistics; Laboratory Techniques; Data Analysis; Scientific Writing; Experimentation,M.Tech,Mumbai
720,Finance/Banking,Auditing; Accounting; Data Analysis,MBA Finance,Pune
721,FMCG,Supply Chain; Product Management; Sales,Diploma Business Management,Kalyan
722,IT/Software,Cybersecurity; Python; Data Analysis; C++; Cloud Computing,B.Tech Computer Science,Amritsar
723,Gems & Jewellery,Quality Control; CAD Design; Retail Management; Jewellery Design; Gemology; Merchandising,B.Des Jewellery,Visakhapatnam
724,Design,UI/UX; AutoCAD; Illustration; 3D Modeling,B.Des,Varanasi
725,Education,Educational Research; Classroom Management; Curriculum Development; Public Speaking; Assessment Design; Teaching,M.Ed,Hubli
726,Education,Educational Research; Public Speaking; Assessment Design; Curriculum Development; Teaching,PhD Education,Patna
727,Education,Assessment Design; Classroom Management; Curriculum Development; Public Speaking; Educational Research; Teaching,PhD Education,Meerut
728,Gems & Jewellery,Quality Control; Gemology; Retail Management; Jewellery Design; CAD Design,Certificate in Gemology,Jodhpur
729,IT/Software,Cybersecurity; C++; Web Development; Java; Cloud Computing,B.Tech Information Technology,Thane
730,Gems & Jewellery,Retail Management; Jewellery Design; CAD Design; Gemology; Quality Control; Merchandising,Certificate in Gemology,Rajkot
731,Chemical Industries,Chemical Engineering; Process Design; Safety Management; Material Science; Industrial Chemistry; Quality Control,M.Sc Chemistry,Mysore
732,IT/Software,C++; Cloud Computing; SQL,MCA,Gwalior
733,Defence,Navigation Systems; Cybersecurity; Military Tactics; Strategic Planning; Weapon Systems,B.Tech Mechanical,Kalyan
734,Pharamaceutical,Quality Control; Regulatory Affairs; Drug Development,PhD Pharmacy,Jabalpur
735,Travel & Logistics,Supply Chain; Warehouse Management; Customer Service; Transportation Planning; Inventory Management,BBA,Srinagar
736,Research,Data Analysis; Laboratory Techniques; Experimentation; Statistics; Machine Learning,PhD,Howrah
737,Research,Statistics; Laboratory Techniques; Machine Learning; Experimentation,PhD,Ludhiana
738,Design,AutoCAD; Adobe Photoshop; Graphic Design; 3D Modeling,M.Des,Bangalore
739,Education,Classroom Management; Curriculum Development; Public Speaking; Assessment Design; Teaching; Educational Research,M.Ed,Visakhapatnam
740,Pharamaceutical,Clinical Trials; Medical Research; Quality Control,PhD Pharmacy,Delhi
741,Design,3D Modeling; Graphic Design; UI/UX; Adobe Photoshop; AutoCAD; Illustration,B.Des,Thane
742,Agriculture,Irrigation Systems; Agribusiness; Farm Mechanization; Crop Management; Fertilizer Application,B.Sc Agriculture,Faridabad
743,Agriculture,Farm Mechanization; Soil Science; Crop Management; Fertilizer Application,M.Sc Agriculture,Gwalior
744,Travel & Logistics,Inventory Management; Operations Management; Warehouse Management; Customer Service; Transportation Planning,BBA,Nagpur
745,Research,Laboratory Techniques; Data Analysis; Machine Learning,M.Sc Research Methodology,Rajkot
746,IT/Software,Machine Learning; Java; Cloud Computing; Data Analysis,B.Tech Computer Science,Ahmedabad
747,Education,Educational Research; Curriculum Development; Assessment Design,PhD Education,Bhopal
748,IT/Software,C++; Cybersecurity; Web Development; Cloud Computing; Machine Learning; Data Analysis,B.Tech Computer Science,Srinagar
749,Education,Curriculum Development; Public Speaking; Teaching; Educational Research; Classroom Management,B.Ed,Ranchi
750,Design,Adobe Photoshop; UI/UX; Illustration; 3D Modeling,Diploma in Design,Kolkata
751,Finance/Banking,Auditing; Risk Management; Investment Banking; Accounting; Financial Analysis; Data Analysis,B.Com,Madurai
752,Gems & Jewellery,CAD Design; Gemology; Jewellery Design; Retail Management,B.Des Jewellery,Delhi
753,Agriculture,Farm Mechanization; Fertilizer Application; Soil Science,M.Sc Agriculture,Kota
754,Research,Data Analysis; Experimentation; Scientific Writing; Laboratory Techniques; Statistics,M.Sc Research Methodology,Chennai
755,Design,3D Modeling; Graphic Design; Adobe Photoshop; Illustration; AutoCAD,B.Des,Nashik
756,Finance/Banking,Investment Banking; Financial Analysis; Risk Management,MBA Finance,Guwahati
757,Gems & Jewellery,Gemology; Jewellery Design; Quality Control; Retail Management,Diploma Jewellery Design,Madurai
758,Design,Adobe Photoshop; 3D Modeling; UI/UX,Diploma in Design,Mysore
759,Research,Laboratory Techniques; Statistics; Experimentation; Data Analysis,PhD,Agra
760,Pharamaceutical,Regulatory Affairs; Quality Control; Clinical Trials; Medical Research; Pharmacology,B.Pharm,Kota
761,Gems & Jewellery,Retail Management; Merchandising; Quality Control; Jewellery Design; CAD Design,Diploma Jewellery Design,Varanasi
762,Housing/Infrastructure,Construction Management; Urban Planning; Structural Analysis,Diploma Civil,Aurangabad
763,Gems & Jewellery,Gemology; Jewellery Design; CAD Design; Quality Control; Retail Management,B.Des Jewellery,Aligarh
764,Healthcare,Public Health; Clinical Research; Surgery Assistance,Diploma in Medical Lab Technology,Pune
765,Housing/Infrastructure,Project Management; AutoCAD; Civil Engineering; Construction Management; Urban Planning,M.Tech Structural Engineering,Rajkot
766,Pharamaceutical,Drug Development; Clinical Trials; Quality Control; Medical Research,PhD Pharmacy,Kanpur
767,Healthcare,Clinical Research; Nursing; Phlebotomy; Surgery Assistance; Public Health,B.Sc Nursing,Srinagar
768,Finance/Banking,Data Analysis; Auditing; Excel; Risk Management; Investment Banking; Accounting,CA,Jaipur
769,Chemical Industries,Industrial Chemistry; Chemical Engineering; Safety Management; Process Design; Material Science; Quality Control,B.Tech Chemical Engineering,Nagpur
770,Agriculture,Farm Mechanization; Irrigation Systems; Fertilizer Application; Soil Science; Crop Management; Agribusiness,M.Sc Agriculture,Nagpur
771,Travel & Logistics,Warehouse Management; Customer Service; Supply Chain; Operations Management; Transportation Planning,BBA,Howrah
772,FMCG,Product Management; Brand Management; Marketing; Sales,MBA Marketing,Pune
773,IT/Software,Cybersecurity; Machine Learning; C++; Cloud Computing; SQL,B.Tech Information Technology,Tiruchirappalli
774,Travel & Logistics,Warehouse Management; Inventory Management; Operations Management,BBA,Ahmedabad
775,Housing/Infrastructure,Project Management; Urban Planning; AutoCAD,B.Tech Civil,Hubli
776,Travel & Logistics,Operations Management; Warehouse Management; Inventory Management; Supply Chain; Transportation Planning; Customer Service,Diploma Logistics,Allahabad
777,Housing/Infrastructure,Civil Engineering; Structural Analysis; Urban Planning; Construction Management; AutoCAD,Diploma Civil,Hubli
778,Design,Illustration; AutoCAD; 3D Modeling; Graphic Design,Diploma in Design,Faridabad
779,Research,Laboratory Techniques; Statistics; Data Analysis; Scientific Writing; Experimentation; Machine Learning,PhD,Navi Mumbai
780,Defence,Strategic Planning; Weapon Systems; Cybersecurity,B.Tech Electronics,Visakhapatnam
781,Pharamaceutical,Regulatory Affairs; Medical Research; Quality Control; Clinical Trials; Pharmacology,B.Pharm,Mumbai
782,Education,Public Speaking; Classroom Management; Teaching,B.Ed,Thane
783,IT/Software,Data Analysis; Python; Machine Learning; SQL; Cybersecurity,B.Tech Information Technology,Vadodara
784,Research,Laboratory Techniques; Scientific Writing; Data Analysis,M.Tech,Patna
785,Gems & Jewellery,Jewellery Design; Merchandising; Gemology; Quality Control,Certificate in Gemology,Chennai
